zipcode,price
75015.0,$45.00
75020.0,$90.00
75020,$69.00
75017,$80.00
75018,$40.00
75018,$95.00
75017.0,$80.00
75011,$80.00
75020,$80.00
75018.0,$60.00
75009.0,$60.00
75001.0,$98.00
75116.0,$500.00
75005,$130.00
75009,$300.00
75019,$150.00
75006.0,$80.00
75011,$90.00
75001.0,$130.00
75011.0,$84.00
75011,$92.00
75017.0,$80.00
75010,$120.00
75007.0,$129.00
75001.0,$70.00
75011.0,$85.00
75011,$115.00
75018,$60.00
75020.0,$40.00
75005.0,$49.00
75011,$60.00
75019,$70.00
75019.0,$68.00
75017.0,$45.00
75015,$60.00
75017.0,$80.00
75001,$90.00
75015.0,$41.00
75015,$250.00
75005.0,$100.00
75014.0,$89.00
75011,$140.00
75009,$85.00
75020.0,$55.00
75019.0,$90.00
75008,$270.00
75014.0,$65.00
75006,$111.00
75018,$60.00
,$38.00
75020.0,$40.00
75012,$45.00
75018,$53.00
75018.0,$50.00
75009.0,$59.00
75018,$105.00
75018.0,$75.00
,$110.00
75009,$130.00
,$120.00
75018,$55.00
75017,$60.00
75015.0,$58.00
75020,$41.00
75018.0,$100.00
75011.0,$35.00
75010.0,$30.00
75020,$65.00
75011.0,$95.00
75019,$50.00
75020.0,$35.00
75006,$51.00
75020.0,$60.00
75020.0,$60.00
75005,$88.00
75001,$90.00
N,$95.00
75009.0,$75.00
75015.0,$45.00
75015.0,$120.00
75013,$225.00
,$90.00
75018.0,$90.00
75002,$95.00
75015.0,$89.00
75009.0,$44.00
75018.0,$50.00
75005,$79.00
75015,$60.00
75019.0,$50.00
75017,$75.00
75010.0,$59.00
75011.0,$90.00
75010,$105.00
75013.0,$31.00
75010,$85.00
75019,$60.00
75017,$76.00
75018.0,$45.00
75012,$37.00
75009.0,$99.00
75017.0,$88.00
75018.0,$95.00
75010,$53.00
75012.0,$95.00
75003.0,$49.00
75007.0,$138.00
75009,$160.00
75011.0,$130.00
75017,$299.00
75003.0,$55.00
75002.0,$65.00
75017,$75.00
75008.0,$190.00
75019.0,$60.00
75018.0,$40.00
75010.0,$120.00
75018.0,$40.00
75005.0,$110.00
75017.0,$100.00
75004.0,$87.00
75018,$158.00
75013,$69.00
75004,$148.00
75019.0,$85.00
75012,$55.00
75011.0,$55.00
75011,$130.00
75020,$45.00
75015,$130.00
75019,$40.00
75005.0,$49.00
75017,$90.00
75014,$60.00
75016,$150.00
75019.0,$58.00
75004.0,$90.00
75010,$320.00
75014,$35.00
75018,$100.00
75009.0,$91.00
75008.0,$85.00
75005.0,$93.00
75015.0,$100.00
75009,$149.00
75011.0,$62.00
75018,$75.00
75007,$90.00
75013,$75.00
75011.0,$40.00
75010.0,$55.00
75009,$49.00
75011.0,$50.00
